scan_time,symbol,sector,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,score,reasons
16.05.2026 at 07:45 AM IST,TRIDENT,Textiles,24.7,-1.79,21.98,34.1,12.37,27.56,41.03,24.83,27.07,5874882.75,11463073.0,1.95,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,ERIS,Healthcare,1370.9,-0.22,1200.0,1910.0,14.24,28.23,51.49,1350.97,1530.76,125991.6,181983.0,1.44,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,EMKAY,Unknown,194.64,-4.34,186.0,409.9,4.65,52.52,36.2,220.05,257.84,32216.55,69338.0,2.15,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,KAYNES,Consumer Durables,3271.9,-1.94,3184.2,7705.0,2.75,57.54,31.54,3889.32,5063.83,1923441.8,7578637.0,3.94,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,DOMS,Fast Moving Consumer Goods,2263.5,2.22,2023.9,2881.5,11.84,21.45,44.15,2282.15,2442.99,52925.4,216172.0,4.08,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,LANDMARK,Unknown,375.1,1.86,339.5,662.8,10.49,43.41,38.71,393.01,493.59,65700.4,125665.0,1.91,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,KFINTECH,Financial Services,808.2,-1.49,805.0,1379.27,0.4,41.4,32.22,915.67,1033.32,1398357.65,2022597.0,1.45,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,RAMANEWS,Unknown,29.12,-5.82,27.05,44.78,7.65,34.97,33.68,32.88,31.63,37662.5,102209.0,2.71,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,MASFIN,Unknown,319.4,-1.74,265.21,358.85,20.43,10.99,43.98,313.79,313.16,202642.5,67831.0,0.33,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,VOLTAS,Consumer Durables,1230.7,-4.86,1186.8,1582.5,3.7,22.23,33.46,1378.01,1387.87,1118673.9,2400991.0,2.15,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,MAANALU,Unknown,139.38,-2.0,95.99,184.74,45.2,24.55,44.41,137.93,135.68,288539.85,78581.0,0.27,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,UNITDSPR,Fast Moving Consumer Goods,1320.7,3.79,1210.8,1627.82,9.08,18.87,53.51,1308.3,1349.09,1302329.45,3849617.0,2.96,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,VIDHIING,Unknown,290.0,-5.52,258.6,455.4,12.14,36.32,44.03,299.92,337.92,16473.15,35608.0,2.16,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,MAHAPEXLTD,Unknown,50.74,2.42,44.43,124.9,14.2,59.38,41.85,59.37,88.64,25811.8,40886.0,1.58,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,CINELINE,Unknown,80.08,-7.39,73.35,97.99,9.18,18.28,36.98,85.4,86.68,26242.4,115550.0,4.4,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,QPOWER,Unknown,1098.7,-0.33,357.79,1441.0,207.08,23.75,40.79,1042.36,882.18,1204034.0,1110842.0,0.92,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,TRF,Unknown,237.35,-1.19,215.5,417.95,10.14,43.21,34.11,249.21,297.05,19309.45,45492.0,2.36,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,CHALET,Consumer Services,784.65,4.24,691.35,1080.8,13.5,27.4,54.16,758.44,876.68,141976.4,660839.0,4.65,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,ACMESOLAR,Power,276.0,-2.49,195.73,324.01,41.01,14.82,42.07,272.13,260.15,1483093.85,630666.0,0.43,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,3PLAND,Unknown,31.94,-2.08,28.51,58.79,12.03,45.67,38.18,33.24,38.97,5242.9,22179.0,4.23,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,WSTCSTPAPR,Unknown,467.1,-0.41,375.0,577.18,24.56,19.07,44.26,452.72,451.64,182696.9,73070.0,0.4,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,WINDLAS,Unknown,779.4,2.24,697.4,1097.9,11.76,29.01,39.78,793.51,856.1,51396.75,95053.0,1.85,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,VGUARD,Unknown,320.55,0.47,290.0,408.17,10.53,21.47,43.19,323.46,343.05,349251.55,511061.0,1.46,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,SAMBHV,Unknown,111.07,-2.18,81.42,149.4,36.42,25.66,42.58,107.78,108.19,2181503.65,1116224.0,0.51,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,AADHARHFC,Financial Services,464.15,-2.24,411.3,547.8,12.85,15.27,38.64,476.29,490.96,390451.75,529369.0,1.36,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,IGL,Oil Gas & Consumable Fuels,152.12,-2.31,141.74,223.11,7.32,31.82,34.91,159.37,185.27,3607636.0,5194963.0,1.44,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,AXITA,Unknown,7.87,-0.88,7.26,12.2,8.35,35.49,29.88,8.54,8.62,470500.85,952535.0,2.02,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,BAJAJFINSV,Financial Services,1728.1,-0.7,1597.0,2195.0,8.21,21.27,40.79,1776.21,1963.37,1139119.25,2347840.0,2.06,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,NRAIL,Unknown,458.35,-2.3,242.77,519.0,88.8,11.69,43.56,449.41,437.47,9128.2,5227.0,0.57,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,STUDDS,Unknown,438.05,0.17,434.4,600.0,0.84,26.99,28.43,480.68,,27951.95,61517.0,2.2,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,JTLIND,Unknown,68.65,-1.01,40.25,85.85,70.56,20.04,44.26,62.91,66.83,5327899.5,2357511.0,0.44,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,IOC,Oil Gas & Consumable Fuels,134.48,-4.12,127.93,186.61,5.12,27.93,36.02,146.15,151.15,12290525.55,30353032.0,2.47,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,PAR,Unknown,87.29,-5.78,78.05,122.43,11.84,28.7,38.94,90.01,97.21,5822.2,23702.0,4.07,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,INFY,Information Technology,1119.0,2.19,1089.0,1728.0,2.75,35.24,33.79,1244.76,1445.34,12882105.05,17482450.0,1.36,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,BIKAJI,Fast Moving Consumer Goods,669.05,2.96,592.55,818.7,12.91,18.28,53.54,643.37,704.35,184407.9,529508.0,2.87,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,HIMATSEIDE,Unknown,78.4,3.16,72.01,168.34,8.87,53.43,36.12,85.49,110.45,1025119.45,2328351.0,2.27,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,BCONCEPTS,Unknown,222.06,-1.6,196.8,449.0,12.84,50.54,36.13,238.18,296.68,6905.7,9139.0,1.32,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,BHARTIARTL,Telecommunication,1905.4,1.16,1740.5,2174.5,9.47,12.38,59.62,1836.46,1959.26,9482251.8,15807294.0,1.67,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,INTERARCH,Unknown,1768.0,-1.06,1650.0,2762.6,7.15,36.0,34.97,1900.15,2093.71,130180.15,283081.0,2.17,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,PNGJL,Unknown,573.9,-10.0,503.0,736.4,14.1,22.07,35.02,608.96,605.33,332556.55,588893.0,1.77,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,TECHM,Information Technology,1370.5,2.02,1304.1,1854.0,5.09,26.08,40.49,1411.75,1489.32,2540594.4,5306932.0,2.09,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,GMMPFAUDLR,Unknown,896.5,1.9,784.0,1416.84,14.35,36.73,50.12,884.65,1065.28,57814.2,105870.0,1.83,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,GODREJAGRO,Unknown,569.75,0.97,506.1,867.15,12.58,34.3,42.88,585.81,633.37,214383.3,991171.0,4.62,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,TARAPUR,Unknown,21.22,-3.98,21.01,39.99,1.0,46.94,35.0,24.41,27.92,30954.3,46273.0,1.49,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,POWERGRID,Power,305.85,1.36,247.22,324.95,23.71,5.88,43.99,305.48,281.97,9195745.8,10092811.0,1.1,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,THELEELA,Consumer Services,414.15,1.02,382.5,474.4,8.27,12.7,43.96,422.8,425.31,403360.5,717073.0,1.78,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,PINELABS,Financial Services,152.48,-2.07,151.0,284.0,0.98,46.31,26.88,177.73,,5924900.9,23984959.0,4.05,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,TERASOFT,Unknown,288.3,-4.79,251.81,598.0,14.49,51.79,29.35,338.01,397.77,12638.85,34218.0,2.71,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,BSOFT,Information Technology,314.4,1.13,309.2,474.0,1.68,33.67,26.75,364.15,385.77,1068359.35,2862954.0,2.68,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,PRIVISCL,Unknown,3091.8,0.54,2045.79,3590.9,51.13,13.9,41.64,3068.2,2830.06,124089.7,73969.0,0.6,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,CHAMBLFERT,Chemicals,449.9,5.96,399.75,637.12,12.55,29.39,53.39,440.11,472.29,975921.0,9497223.0,9.73,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,GANGAFORGE,Unknown,2.34,-4.88,2.25,5.22,4.0,55.17,25.83,2.75,3.27,372259.25,1363418.0,3.66,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,APOLLOTYRE,Automobile and Auto Components,394.5,-1.82,392.0,536.76,0.64,26.5,34.68,421.08,471.43,1440296.25,9044984.0,6.28,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,TRAVELFOOD,Consumer Services,1098.4,-4.01,1008.5,1445.0,8.91,23.99,24.42,1223.98,1230.82,33663.4,86714.0,2.58,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,KALAMANDIR,Unknown,103.06,-6.86,89.76,223.03,14.82,53.79,45.82,102.46,142.8,964452.8,1401177.0,1.45,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,JISLJALEQS,Unknown,31.12,-6.85,27.1,66.45,14.83,53.17,43.1,32.27,42.31,3925723.3,7440088.0,1.9,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,JLHL,Unknown,1326.5,0.19,1178.0,1625.0,12.61,18.37,63.83,1261.1,1380.09,54387.35,72392.0,1.33,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,ZAGGLE,Unknown,210.62,-7.25,186.05,469.8,13.21,55.17,37.45,235.8,320.44,2241899.55,9123436.0,4.07,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,EFCIL,Unknown,178.21,0.58,171.55,357.0,3.88,50.08,37.95,197.99,,605891.25,1370526.0,2.26,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,EDELWEISS,Unknown,113.39,-2.11,83.79,130.7,35.32,13.24,44.37,113.07,110.56,5971276.15,2685295.0,0.45,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
16.05.2026 at 07:45 AM IST,EIFFL,Unknown,231.7,-4.36,204.98,305.9,13.04,24.26,38.16,236.71,237.7,31322.3,42539.0,1.36,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
16.05.2026 at 07:45 AM IST,DMCC,Unknown,313.45,-2.87,191.35,347.4,63.81,9.77,61.53,250.81,272.34,108596.85,156710.0,1.44,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,JSWSTEEL,Metals & Mining,1278.8,-1.4,959.57,1314.0,33.27,2.68,56.83,1215.43,1161.08,1993893.05,3871553.0,1.94,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SMARTLINK,Unknown,169.35,-8.25,103.5,199.0,63.62,14.9,66.2,129.12,135.12,51857.05,74859.0,1.44,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SHILPAMED,Unknown,478.4,6.19,259.5,499.39,84.35,4.2,74.15,384.29,367.61,675343.3,2449910.0,3.63,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SHIVATEX,Unknown,184.16,6.44,126.06,237.07,46.09,22.32,68.69,152.37,173.09,6092.9,18382.0,3.02,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,MANKIND,Healthcare,2503.0,1.66,1909.7,2715.43,31.07,7.82,73.36,2183.17,2295.06,542906.95,1120942.0,2.06,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,MEDANTA,Healthcare,1242.5,2.52,956.0,1455.98,29.97,14.66,67.35,1094.92,1215.22,275909.4,780605.0,2.83,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,JPPOWER,Power,19.54,9.41,13.15,27.7,48.59,29.46,59.42,16.86,17.55,141907613.75,738085898.0,5.2,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,AMNPLST,Unknown,208.02,3.19,127.0,271.4,63.8,23.35,77.32,158.42,190.89,40225.0,282549.0,7.02,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SHARDACROP,Unknown,969.0,1.1,597.46,1297.0,62.19,25.29,39.53,1044.88,950.69,719639.65,1762142.0,2.45,Bearish,55,"RSI weak/oversold, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SHAH,Unknown,5.52,-1.6,2.86,5.88,93.01,6.12,58.09,5.07,4.45,2409364.1,3333638.0,1.38,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,CROMPTON,Consumer Durables,301.95,4.5,217.4,359.55,38.89,16.02,70.71,255.93,274.89,6766179.7,18051421.0,2.67,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SEMAC,Unknown,390.65,-5.0,205.0,568.9,90.56,31.33,74.55,271.18,365.05,2075.9,11915.0,5.74,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,FOCUS,Unknown,84.54,2.52,57.06,126.15,48.16,32.98,65.01,72.09,80.27,91659.0,122618.0,1.34,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,COASTCORP,Unknown,62.26,3.15,29.84,66.7,108.66,6.66,65.0,50.46,43.2,216192.3,630187.0,2.91,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,FMNL,Unknown,10.36,-1.61,6.74,19.1,53.71,45.76,64.75,8.61,10.13,85287.05,213798.0,2.51,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,GALAPREC,Unknown,856.15,1.75,671.2,980.0,27.56,12.64,63.37,761.07,773.12,27582.75,54516.0,1.98,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,UFO,Unknown,78.49,0.95,53.75,92.97,46.03,15.57,68.08,68.7,74.52,86059.45,260011.0,3.02,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,DATAPATTNS,Capital Goods,3876.5,-3.34,2131.0,4303.0,81.91,9.91,50.21,3572.28,2916.85,1661988.45,3470053.0,2.09,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,AKUMS,Unknown,516.95,-2.07,409.3,622.95,26.3,17.02,45.65,509.36,471.49,225340.65,387826.0,1.72,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,RANEHOLDIN,Unknown,1438.1,13.99,981.0,1798.0,46.6,20.02,78.87,1118.9,1359.79,82559.9,884991.0,10.72,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,ALIVUS,Unknown,1044.6,-1.83,819.0,1218.62,27.55,14.28,47.06,1010.36,947.21,126070.2,218077.0,1.73,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SENORES,Unknown,1050.35,10.02,491.0,1063.8,113.92,1.26,72.66,834.21,778.13,399530.8,1325468.0,3.32,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,VALIANTORG,Unknown,296.6,4.44,195.0,507.8,52.1,41.59,59.11,253.03,288.42,67310.1,95114.0,1.41,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SAREGAMA,Media Entertainment & Publication,415.75,8.11,307.05,596.52,35.4,30.3,73.46,340.24,394.42,7022807.95,95651377.0,13.62,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,KESORAMIND,Unknown,12.3,-4.95,4.55,14.26,170.33,13.74,62.11,9.81,7.81,3171159.65,7477517.0,2.36,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,MANGLMCEM,Unknown,883.35,-0.31,679.35,953.8,30.03,7.39,46.17,867.42,783.28,64809.35,106409.0,1.64,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,MANINDS,Unknown,560.15,1.63,302.05,570.0,85.45,1.73,67.78,455.76,417.54,493562.05,855352.0,1.73,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,ENRIN,Capital Goods,3086.1,-0.6,2111.59,3619.16,46.15,14.73,50.67,2948.76,3003.01,504611.9,662110.0,1.31,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,EUROTEXIND,Unknown,16.38,2.37,11.83,23.58,38.46,30.53,59.36,14.15,15.27,6319.0,9431.0,1.49,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,RITCO,Unknown,273.46,-1.02,167.1,317.1,63.65,13.76,73.73,209.59,251.05,184669.0,300105.0,1.63,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,DAVANGERE,Unknown,3.89,2.1,3.03,5.5,28.38,29.27,63.14,3.77,3.85,11744604.95,20935867.0,1.78,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,MARKSANS,Unknown,207.45,2.74,155.0,269.75,33.84,23.09,66.68,178.61,181.84,1866008.85,3868560.0,2.07,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,RPTECH,Unknown,507.55,-1.5,274.03,549.0,85.22,7.55,62.3,417.01,352.21,246585.35,579569.0,2.35,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,SBIN,Financial Services,963.2,0.07,765.07,1212.84,25.9,20.58,33.97,1046.18,959.02,18571749.1,26972493.0,1.45,Bearish,55,"RSI weak/oversold, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,DIACABS,Unknown,196.45,2.32,91.55,204.8,114.58,4.08,76.32,146.42,144.75,6000141.25,18806298.0,3.13,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,LICHSGFIN,Financial Services,547.05,-2.38,458.9,635.31,19.21,13.89,47.57,530.16,546.48,2083971.35,3316350.0,1.59,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,KRBL,Unknown,338.85,-2.26,274.65,490.71,23.38,30.95,44.2,332.01,375.1,566929.0,949805.0,1.68,Bullish,55,"RSI weak/oversold, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,KPIL,Construction,1257.6,2.53,1007.1,1335.6,24.87,5.84,56.04,1172.58,1195.35,172938.2,584783.0,3.38,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,KIRLOSENG,Capital Goods,1740.2,8.99,727.53,1775.0,139.19,1.96,61.75,1532.04,1180.19,446498.55,1983674.0,4.44,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,KRN,Unknown,1172.6,-0.93,589.8,1405.0,98.81,16.54,49.35,1063.48,868.13,860308.15,1149786.0,1.34,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,ZUARI,Unknown,225.98,-3.7,175.1,393.55,29.06,42.58,44.12,219.59,269.83,166153.8,217690.0,1.31,Bullish,55,"RSI weak/oversold, Above 50 DMA, Volume expansion"
16.05.2026 at 07:45 AM IST,ABDL,Fast Moving Consumer Goods,555.35,0.68,373.19,696.8,48.81,20.3,56.22,491.9,536.19,374183.25,805576.0,2.15,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,ZYDUSLIFE,Healthcare,1011.7,2.02,835.5,1059.05,21.09,4.47,70.17,913.32,942.28,1007764.6,1996110.0,1.98,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
16.05.2026 at 07:45 AM IST,LEMERITE,Unknown,470.05,7.06,288.2,537.85,63.1,12.61,66.99,444.62,438.45,74626.65,146798.0,1.97,Bullish,55,"Above 50 DMA, Volume expansion, Above 200 DMA"
