relative_scan_time,symbol,return_1m,return_3m,return_6m,nifty_1m_return,nifty_3m_return,nifty_6m_return,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector,industry,sector_rank,sector_count,sector_rank_pct
10.09.2026 at 02:35 PM IST,CRAMC,-7.12,-5.72,-0.33,,,,0,0,0,0,,Financial Services,Asset Management,16.0,215,7.44
10.09.2026 at 02:35 PM IST,COASTCORP,-4.66,-17.4,-9.75,,,,0,0,0,0,,Consumer Defensive,Packaged Foods,15.0,138,10.87
10.09.2026 at 02:35 PM IST,HCLTECH,-12.05,5.02,-6.41,,,,0,0,0,10,Positive 3M return,Technology,Information Technology Services,12.0,153,7.84
10.09.2026 at 02:35 PM IST,HDBFS,-2.45,-3.07,3.64,,,,0,0,0,10,Positive 6M return,Financial Services,Credit Services,14.0,215,6.51
10.09.2026 at 02:35 PM IST,GRSE,-5.34,-8.63,0.62,,,,0,0,0,10,Positive 6M return,Industrials,Aerospace & Defense,15.0,414,3.62
10.09.2026 at 02:35 PM IST,NATHBIOGEN,-2.95,-8.36,2.01,,,,0,0,0,10,Positive 6M return,Basic Materials,Agricultural Inputs,15.0,326,4.6
10.09.2026 at 02:35 PM IST,MOKSH,-3.8,-15.64,-13.55,,,,0,0,0,0,,Consumer Cyclical,Luxury Goods,17.0,372,4.57
10.09.2026 at 02:35 PM IST,MUFTI,-4.83,-14.18,-2.66,,,,0,0,0,0,,Consumer Cyclical,Apparel Retail,17.0,372,4.57
10.09.2026 at 02:35 PM IST,NIPPOBATRY,-3.68,-4.04,4.83,,,,0,0,0,10,Positive 6M return,Industrials,Electrical Equipment & Parts,15.0,414,3.62
10.09.2026 at 02:35 PM IST,SUZLON,-6.62,-23.24,7.37,,,,0,0,0,10,Positive 6M return,Industrials,Specialty Industrial Machinery,15.0,414,3.62
