range_scan_time,symbol,range_status,range_score,range_low,range_high,absolute_range_low,absolute_range_high,range_width_pct,absolute_range_width_pct,current_position_pct,upside_to_range_high_pct,downside_to_range_low_pct,inside_range_pct,lower_touch_days,upper_touch_days,range_stability_score,range_width_score,range_position_score,range_bounce_score,range_quality_risk_score,range_rsi,range_volume_ratio,range_breakdown_buffer_pct,range_breakout_buffer_pct,is_range_breakdown,is_range_breakout,range_reasons
26.05.2026 at 04:05 PM IST,SANDUMA,Profit Booking Zone,61.31,188.08,234.7,170.51,273.0,24.79,60.11,100.0,-1.11,20.75,80.0,16,24,87.5,80.0,5,70,77.93,62.92,0.96,26.19,1.12,False,False,80.0% closes stayed inside robust range | Range width is 24.8% | Current position is 100.0% inside range | Upside to range high is -1.1% | Downside to range low is 20.8% | Stock is near upper band
26.05.2026 at 04:05 PM IST,ASTERDM,Profit Booking Zone,58.6,571.7,740.1,519.1,776.55,29.46,49.6,100.0,-2.31,24.54,80.0,16,18,87.5,80.0,5,60,69.83,63.38,0.39,32.52,2.36,False,False,80.0% closes stayed inside robust range | Range width is 29.5% | Current position is 100.0% inside range | Upside to range high is -2.3% | Downside to range low is 24.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,FCL,Range Breakout Watch,62.37,21.71,26.06,19.1,41.25,20.06,115.97,100.0,-33.98,45.01,80.0,26,17,87.5,100.0,5,63,65.31,78.15,2.0,81.86,51.48,False,True,80.0% closes stayed inside robust range | Range width is 20.1% | Current position is 100.0% inside range | Upside to range high is -34.0% | Downside to range low is 45.0% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,ADFFOODS,Wide / Volatile Range,50.0,176.49,265.95,153.1,301.65,50.69,97.03,100.0,-3.59,36.02,80.0,22,23,87.5,20.0,5,85,70.24,55.22,0.57,56.3,3.72,False,False,80.0% closes stayed inside robust range | Range width is 50.7% | Current position is 100.0% inside range | Upside to range high is -3.6% | Downside to range low is 36.0% | Stock is near upper band
26.05.2026 at 04:05 PM IST,UNIPARTS,Range Breakout Watch,57.86,437.5,537.56,399.8,654.0,22.87,63.58,100.0,-11.49,27.96,80.0,24,22,87.5,80.0,5,57,67.93,73.05,11.55,38.82,12.98,False,True,80.0% closes stayed inside robust range | Range width is 22.9% | Current position is 100.0% inside range | Upside to range high is -11.5% | Downside to range low is 28.0% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,RPEL,Wide / Volatile Range,50.0,646.15,962.03,561.3,1065.5,48.88,89.83,95.02,1.66,31.72,80.0,16,27,87.5,20.0,5,70,84.11,80.37,0.64,46.45,-1.63,False,False,80.0% closes stayed inside robust range | Range width is 48.9% | Current position is 95.0% inside range | Upside to range high is 1.7% | Downside to range low is 31.7% | Stock is near upper band
26.05.2026 at 04:05 PM IST,JAGSNPHARM,Profit Booking Zone,63.95,168.81,210.05,155.0,225.12,24.44,45.24,94.75,1.04,18.8,80.0,23,24,87.5,80.0,5,90,75.52,48.03,0.73,23.15,-1.03,False,False,80.0% closes stayed inside robust range | Range width is 24.4% | Current position is 94.8% inside range | Upside to range high is 1.0% | Downside to range low is 18.8% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,POWERINDIA,Wide / Volatile Range,50.0,17861.2,33362.0,16111.0,36750.0,86.78,128.11,100.0,-7.31,50.38,80.0,19,18,87.5,20.0,5,47,62.46,62.26,3.48,101.53,7.89,False,True,80.0% closes stayed inside robust range | Range width is 86.8% | Current position is 100.0% inside range | Upside to range high is -7.3% | Downside to range low is 50.4% | Price is above upper range with elevated volume | Stock is near upper band
26.05.2026 at 04:05 PM IST,SOUTHWEST,Profit Booking Zone,52.03,181.6,242.16,166.25,273.24,33.35,64.35,100.0,-4.39,28.3,80.0,29,22,87.5,50.0,5,60,66.03,67.91,0.88,39.47,4.59,False,False,80.0% closes stayed inside robust range | Range width is 33.3% | Current position is 100.0% inside range | Upside to range high is -4.4% | Downside to range low is 28.3% | Stock is near upper band
26.05.2026 at 04:05 PM IST,LALPATHLAB,Profit Booking Zone,65.84,1346.87,1586.28,1272.6,1719.9,17.78,35.15,100.0,-1.1,16.03,80.0,29,16,87.5,100.0,5,80,71.42,52.04,0.56,19.09,1.12,False,False,80.0% closes stayed inside robust range | Range width is 17.8% | Current position is 100.0% inside range | Upside to range high is -1.1% | Downside to range low is 16.0% | Stock is near upper band | RSI is in a reasonable range-bound zone
