change_scan_time,symbol,sector,industry,current_price,current_rsi,current_risk,current_final_score,current_score_band,technical_score,fundamental_score,relative_strength_score,volume_ratio,distance_pct,distance_from_high_pct,trend,previous_rsi,previous_risk,previous_final_score,previous_score_band,score_change,rsi_change,risk_change,change_signal
01.09.2026 at 10:07 AM IST,KOTHARIPRO,Industrials,Conglomerates,68.01,48.12,15,6.98,E Avoid,22,19.0,18,0.04,17.26,37.61,Bearish,43.13,15.0,2.95,E Avoid,4.03,4.99,0.0,No Major Change
01.09.2026 at 10:07 AM IST,MRPL,Energy,Oil & Gas Refining & Marketing,172.38,51.94,0,33.76,E Avoid,55,27.0,18,0.34,43.98,18.69,Bullish,49.65,0.0,29.83,E Avoid,3.93,2.29,0.0,No Major Change
01.09.2026 at 10:07 AM IST,HEADSUP,Consumer Cyclical,Apparel Retail,6.99,53.31,15,3.91,E Avoid,50,0.0,8,1.04,22.85,46.02,Bullish,50.7,15.0,0.0,E Avoid,3.91,2.61,0.0,No Major Change
01.09.2026 at 10:07 AM IST,ESTER,Basic Materials,Specialty Chemicals,93.55,49.37,15,3.83,E Avoid,27,5.0,18,0.04,36.47,29.37,Bullish,45.9,15.0,0.0,E Avoid,3.83,3.47,0.0,No Major Change
01.09.2026 at 10:07 AM IST,NORBTEAEXP,Consumer Defensive,Farm Products,68.7,51.97,15,3.81,E Avoid,35,9.0,8,0.01,71.75,30.85,Bullish,51.63,15.0,0.0,E Avoid,3.81,0.34,0.0,No Major Change
01.09.2026 at 10:07 AM IST,DIVGIITTS,Consumer Cyclical,Auto Parts,1253.9,65.98,0,56.51,B Watchlist,65,46.0,65,0.5,118.56,4.92,Bullish,59.68,0.0,52.9,C Neutral,3.61,6.3,0.0,"Fresh Momentum, Band Changed: C Neutral → B Watchlist"
01.09.2026 at 10:07 AM IST,SIL,Consumer Cyclical,Textile Manufacturing,19.61,57.92,0,53.31,C Neutral,55,44.0,65,0.1,69.84,12.06,Bullish,54.74,0.0,49.7,C Neutral,3.61,3.18,0.0,No Major Change
01.09.2026 at 10:07 AM IST,COSMOFIRST,Consumer Cyclical,Packaging & Containers,986.0,65.91,0,49.21,C Neutral,75,29.0,58,1.79,76.67,2.14,Bullish,55.21,0.0,45.6,C Neutral,3.61,10.7,0.0,Fresh Momentum
01.09.2026 at 10:07 AM IST,SHANKARA,Consumer Cyclical,Home Improvement Retail,146.18,66.84,5,28.01,E Avoid,55,2.0,58,0.01,48.78,86.06,Bullish,66.85,5.0,24.4,E Avoid,3.61,-0.01,0.0,No Major Change
01.09.2026 at 10:07 AM IST,SHREERAMA,Consumer Cyclical,Packaging & Containers,42.0,48.06,15,15.51,E Avoid,32,36.0,8,0.09,11.64,41.66,Bullish,46.66,15.0,11.9,E Avoid,3.61,1.4,0.0,No Major Change
01.09.2026 at 10:07 AM IST,VAIBHAVGBL,Consumer Cyclical,Luxury Goods,224.37,40.08,15,12.31,E Avoid,13,42.0,10,0.21,30.48,21.57,Bearish,34.54,15.0,8.7,E Avoid,3.61,5.54,0.0,No Major Change
01.09.2026 at 10:07 AM IST,BEPL,Basic Materials,Chemicals,124.58,55.18,0,53.03,C Neutral,65,43.0,58,0.32,70.97,9.3,Bullish,51.08,0.0,49.43,C Neutral,3.6,4.1,0.0,No Major Change
01.09.2026 at 10:07 AM IST,INDIGOPNTS,Basic Materials,Specialty Chemicals,1157.8,57.66,0,47.33,C Neutral,55,42.0,48,0.04,63.52,13.98,Bullish,56.75,0.0,43.73,D Weak,3.6,0.91,0.0,Band Changed: D Weak → C Neutral
01.09.2026 at 10:07 AM IST,HINDCOPPER,Basic Materials,Copper,527.95,48.36,0,38.88,D Weak,47,46.0,18,0.18,133.02,30.43,Bullish,47.54,0.0,35.28,D Weak,3.6,0.82,0.0,No Major Change
