combo_id,combo_name,symbol,current_price,final_conviction_score,score_band,range_status,range_score,rsi,trend,risk_penalty,distance_pct,distance_from_high_pct,return_1m,return_3m,sector,industry,data_completeness_status
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,PETRONET,270.45,31.65,D Weak Watch,Accumulation Zone,84.17,45.97,Bullish,15,14.91,17.14,-2.26,-14.68,Energy,Oil & Gas Refining & Marketing,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,HAPPSTMNDS,378.85,33.06,D Weak Watch,Accumulation Zone,75.4,53.91,Bullish,15,14.73,43.25,0.92,4.54,Technology,Information Technology Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,AUTOAXLES,1729.7,29.22,D Weak Watch,Accumulation Zone,89.3,45.28,Bearish,15,12.3,18.22,-6.29,-15.68,Consumer Cyclical,Auto Parts,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,INDHOTEL,646.75,30.78,D Weak Watch,Accumulation Zone,82.78,47.5,Bullish,15,14.47,20.35,0.47,-5.02,Consumer Cyclical,Lodging,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,ABBOTINDIA,26840.0,32.8,D Weak Watch,Neutral Range,73.68,47.43,Bullish,15,6.72,26.45,5.61,1.84,Healthcare,Drug Manufacturers - Specialty & Generic,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,IEX,125.39,28.69,D Weak Watch,Accumulation Zone,87.67,48.0,Bullish,15,11.15,40.16,0.32,-0.11,Financial Services,Capital Markets,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,SUPREMEIND,3520.7,28.26,D Weak Watch,Accumulation Zone,87.98,43.36,Bearish,15,10.64,25.09,-2.81,-13.12,Industrials,Building Products & Equipment,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,KSOLVES,278.15,28.21,D Weak Watch,Accumulation Zone,85.66,41.55,Bearish,15,13.18,28.24,-9.83,-8.61,Technology,Software - Application,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,TCI,919.3,26.16,D Weak Watch,Accumulation Zone,89.18,48.69,Bearish,15,5.9,28.1,-0.83,-11.46,Industrials,Integrated Freight & Logistics,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,INFY,1202.5,35.56,D Weak Watch,Wide / Volatile Range,50.0,54.42,Bearish,15,10.42,30.41,2.92,-6.72,Technology,Information Technology Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,JLHL,1305.3,28.8,D Weak Watch,Lower Range Watch,76.46,51.9,Bullish,15,10.89,19.61,6.56,1.7,Healthcare,Medical Care Facilities,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,REPRO,347.95,31.16,D Weak Watch,Lower Range Watch,63.92,39.8,Bearish,15,13.32,41.04,-2.67,-13.1,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,IRCTC,512.6,26.67,D Weak Watch,Accumulation Zone,81.74,35.15,Bearish,15,4.05,34.9,-7.68,-13.84,Consumer Cyclical,Travel Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,KFINTECH,845.55,25.11,D Weak Watch,Accumulation Zone,87.75,44.25,Bearish,15,7.72,38.7,-5.6,-15.37,Technology,Software - Application,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,GARFIBRES,643.45,27.17,D Weak Watch,Lower Range Watch,79.31,53.06,Bullish,15,10.99,32.83,4.67,0.09,Consumer Cyclical,Textile Manufacturing,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,GILLETTE,7825.5,24.67,D Weak Watch,Accumulation Zone,88.11,47.74,Bearish,15,8.6,30.22,-1.61,-6.96,Consumer Defensive,Household & Personal Products,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,MRF,124425.0,24.92,D Weak Watch,Accumulation Zone,87.04,37.91,Bearish,15,1.99,23.94,-3.72,-13.3,Consumer Cyclical,Auto Parts,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,UPL,645.25,25.0,D Weak Watch,Accumulation Zone,82.04,51.32,Bullish,15,14.17,20.56,0.53,3.04,Basic Materials,Agricultural Inputs,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,HALDER,224.2,10.72,E Avoid,Accumulation Zone,79.11,44.17,Bearish,0,6.76,23.74,-9.16,-10.8,Consumer Defensive,Farm Products,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,ERIS,1378.4,23.15,D Weak Watch,Accumulation Zone,87.06,51.52,Bullish,15,14.87,27.83,4.2,-0.45,Healthcare,Drug Manufacturers - Specialty & Generic,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,DODLA,1102.3,24.52,D Weak Watch,Lower Range Watch,81.21,54.5,Bullish,15,14.33,27.72,0.22,-4.18,Consumer Defensive,Food Distribution,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,UNITDSPR,1248.8,22.97,D Weak Watch,Accumulation Zone,86.87,38.79,Bearish,15,3.14,23.28,-5.52,-10.08,Consumer Defensive,Beverages - Wineries & Distilleries,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,M&M,2970.2,24.08,D Weak Watch,Accumulation Zone,81.79,37.15,Bearish,15,2.56,22.65,-4.39,-14.76,Consumer Cyclical,Auto Manufacturers,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,GULFOILLUB,927.8,24.8,D Weak Watch,Accumulation Zone,78.51,46.42,Bearish,15,7.26,27.49,-5.13,-15.13,Basic Materials,Specialty Chemicals,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,BSOFT,327.8,24.26,D Weak Watch,Accumulation Zone,79.8,43.04,Bearish,15,6.98,30.84,-10.46,-14.58,Technology,Information Technology Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,SRF,2696.2,25.26,D Weak Watch,Lower Range Watch,75.55,54.84,Bullish,15,14.49,18.66,5.68,3.02,Industrials,Conglomerates,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,CHALET,780.25,24.08,D Weak Watch,Lower Range Watch,80.16,49.29,Bullish,15,12.86,27.81,2.98,-5.89,Consumer Cyclical,Lodging,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,LTM,4196.1,31.41,D Weak Watch,Wide / Volatile Range,50.0,53.05,Bearish,15,8.83,33.86,1.18,-5.59,Technology,Information Technology Services,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,VIDHIING,296.05,22.6,D Weak Watch,Accumulation Zone,84.9,48.58,Bearish,15,14.48,33.08,-1.5,-1.73,Basic Materials,Specialty Chemicals,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,STEELCITY,77.49,22.74,D Weak Watch,Accumulation Zone,83.38,35.23,Bearish,15,8.74,31.59,-7.0,-11.13,Financial Services,Capital Markets,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,IVALUE,237.12,10.45,E Avoid,Accumulation Zone,72.17,43.06,Bearish,0,14.36,30.26,-8.14,5.38,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,THELEELA,409.8,21.62,D Weak Watch,Accumulation Zone,87.49,43.28,Bearish,15,7.14,13.62,-4.31,-6.4,Consumer Cyclical,Lodging,Complete
52w_low_bearish_strong_rsi,52W Low + Bearish + Watchable RSI,ECLERX,1474.1,30.96,D Weak Watch,Wide / Volatile Range,50.0,43.48,Bearish,15,7.21,40.98,3.16,-10.6,Technology,Information Technology Services,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,CARERATING,1600.9,47.39,C Watch,Lower Range Watch,80.66,42.25,Bearish,0,14.95,17.54,-5.46,-1.14,Financial Services,Financial Data & Stock Exchanges,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,STUDDS,447.4,36.92,D Weak Watch,Accumulation Zone,89.28,42.23,Bearish,0,4.64,25.43,-8.64,-13.99,Consumer Cyclical,Auto Parts,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,CAPILLARY,510.15,33.81,D Weak Watch,Accumulation Zone,73.94,39.63,Bearish,0,9.89,36.15,-7.48,-1.7,Technology,Software - Infrastructure,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,SKFINDUS,2146.5,25.86,D Weak Watch,Accumulation Zone,81.27,48.85,Bearish,0,7.64,22.4,-2.0,-15.54,Industrials,Tools & Accessories,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,BAYERCROP,4522.0,39.66,D Weak Watch,Lower Range Watch,73.42,50.17,Bearish,15,5.83,28.72,-5.08,-4.35,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,TATACAP,300.95,21.59,D Weak Watch,Accumulation Zone,84.14,39.05,Bearish,0,1.4,18.06,-8.32,-9.98,Financial Services,Credit Services,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,RECLTD,331.4,37.54,D Weak Watch,Accumulation Zone,77.68,37.04,Bearish,15,9.0,18.52,-6.25,-5.5,Financial Services,Credit Services,Fundamentals Missing
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,TATAELXSI,4302.9,36.51,D Weak Watch,Accumulation Zone,76.62,53.57,Bullish,15,9.07,35.59,2.97,-4.54,Technology,Software - Application,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,MAXHEALTH,938.45,36.05,D Weak Watch,Accumulation Zone,72.2,32.09,Bearish,15,3.93,28.6,-5.5,-13.75,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,SINCLAIR,73.58,35.29,D Weak Watch,Accumulation Zone,73.18,36.6,Bearish,15,6.92,35.88,-7.42,-1.51,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,BBTC,1505.3,31.62,D Weak Watch,Accumulation Zone,86.59,47.27,Bullish,15,14.51,29.48,0.28,-14.67,Consumer Defensive,Packaged Foods,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,TCS,2297.4,32.71,D Weak Watch,Accumulation Zone,81.84,44.51,Bearish,15,5.54,32.51,-4.23,-12.05,Technology,Information Technology Services,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,BIKAJI,664.9,32.42,D Weak Watch,Lower Range Watch,82.57,52.99,Bullish,15,12.21,18.79,-1.74,5.72,Consumer Defensive,Packaged Foods,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,MPHASIS,2310.5,34.46,D Weak Watch,Accumulation Zone,74.3,59.22,Bullish,15,14.78,23.93,1.48,2.34,Technology,Information Technology Services,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,PETRONET,270.45,31.65,D Weak Watch,Accumulation Zone,84.17,45.97,Bullish,15,14.91,17.14,-2.26,-14.68,Energy,Oil & Gas Refining & Marketing,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,HINDUNILVR,2084.3,34.54,D Weak Watch,Accumulation Zone,71.68,30.63,Bearish,15,3.06,23.61,-9.74,-12.55,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,INNOVANA,328.9,34.54,D Weak Watch,Accumulation Zone,71.68,30.6,Bearish,15,4.2,49.36,-18.86,-22.41,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,HAPPSTMNDS,378.85,33.06,D Weak Watch,Accumulation Zone,75.4,53.91,Bullish,15,14.73,43.25,0.92,4.54,Technology,Information Technology Services,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,AUTOAXLES,1729.7,29.22,D Weak Watch,Accumulation Zone,89.3,45.28,Bearish,15,12.3,18.22,-6.29,-15.68,Consumer Cyclical,Auto Parts,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,INDHOTEL,646.75,30.78,D Weak Watch,Accumulation Zone,82.78,47.5,Bullish,15,14.47,20.35,0.47,-5.02,Consumer Cyclical,Lodging,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,WIPRO,206.41,32.51,D Weak Watch,Accumulation Zone,74.06,60.98,Bullish,15,10.68,22.47,2.82,2.65,Technology,Information Technology Services,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,IEX,125.39,28.69,D Weak Watch,Accumulation Zone,87.67,48.0,Bullish,15,11.15,40.16,0.32,-0.11,Financial Services,Capital Markets,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,SUPREMEIND,3520.7,28.26,D Weak Watch,Accumulation Zone,87.98,43.36,Bearish,15,10.64,25.09,-2.81,-13.12,Industrials,Building Products & Equipment,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,KSOLVES,278.15,28.21,D Weak Watch,Accumulation Zone,85.66,41.55,Bearish,15,13.18,28.24,-9.83,-8.61,Technology,Software - Application,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,TCI,919.3,26.16,D Weak Watch,Accumulation Zone,89.18,48.69,Bearish,15,5.9,28.1,-0.83,-11.46,Industrials,Integrated Freight & Logistics,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,JLHL,1305.3,28.8,D Weak Watch,Lower Range Watch,76.46,51.9,Bullish,15,10.89,19.61,6.56,1.7,Healthcare,Medical Care Facilities,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,REPRO,347.95,31.16,D Weak Watch,Lower Range Watch,63.92,39.8,Bearish,15,13.32,41.04,-2.67,-13.1,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,IRCTC,512.6,26.67,D Weak Watch,Accumulation Zone,81.74,35.15,Bearish,15,4.05,34.9,-7.68,-13.84,Consumer Cyclical,Travel Services,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,KFINTECH,845.55,25.11,D Weak Watch,Accumulation Zone,87.75,44.25,Bearish,15,7.72,38.7,-5.6,-15.37,Technology,Software - Application,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,GARFIBRES,643.45,27.17,D Weak Watch,Lower Range Watch,79.31,53.06,Bullish,15,10.99,32.83,4.67,0.09,Consumer Cyclical,Textile Manufacturing,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,GILLETTE,7825.5,24.67,D Weak Watch,Accumulation Zone,88.11,47.74,Bearish,15,8.6,30.22,-1.61,-6.96,Consumer Defensive,Household & Personal Products,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,MRF,124425.0,24.92,D Weak Watch,Accumulation Zone,87.04,37.91,Bearish,15,1.99,23.94,-3.72,-13.3,Consumer Cyclical,Auto Parts,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,UPL,645.25,25.0,D Weak Watch,Accumulation Zone,82.04,51.32,Bullish,15,14.17,20.56,0.53,3.04,Basic Materials,Agricultural Inputs,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,HALDER,224.2,10.72,E Avoid,Accumulation Zone,79.11,44.17,Bearish,0,6.76,23.74,-9.16,-10.8,Consumer Defensive,Farm Products,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,ERIS,1378.4,23.15,D Weak Watch,Accumulation Zone,87.06,51.52,Bullish,15,14.87,27.83,4.2,-0.45,Healthcare,Drug Manufacturers - Specialty & Generic,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,DODLA,1102.3,24.52,D Weak Watch,Lower Range Watch,81.21,54.5,Bullish,15,14.33,27.72,0.22,-4.18,Consumer Defensive,Food Distribution,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,UNITDSPR,1248.8,22.97,D Weak Watch,Accumulation Zone,86.87,38.79,Bearish,15,3.14,23.28,-5.52,-10.08,Consumer Defensive,Beverages - Wineries & Distilleries,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,M&M,2970.2,24.08,D Weak Watch,Accumulation Zone,81.79,37.15,Bearish,15,2.56,22.65,-4.39,-14.76,Consumer Cyclical,Auto Manufacturers,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,GULFOILLUB,927.8,24.8,D Weak Watch,Accumulation Zone,78.51,46.42,Bearish,15,7.26,27.49,-5.13,-15.13,Basic Materials,Specialty Chemicals,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,BSOFT,327.8,24.26,D Weak Watch,Accumulation Zone,79.8,43.04,Bearish,15,6.98,30.84,-10.46,-14.58,Technology,Information Technology Services,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,SRF,2696.2,25.26,D Weak Watch,Lower Range Watch,75.55,54.84,Bullish,15,14.49,18.66,5.68,3.02,Industrials,Conglomerates,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,CHALET,780.25,24.08,D Weak Watch,Lower Range Watch,80.16,49.29,Bullish,15,12.86,27.81,2.98,-5.89,Consumer Cyclical,Lodging,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,VIDHIING,296.05,22.6,D Weak Watch,Accumulation Zone,84.9,48.58,Bearish,15,14.48,33.08,-1.5,-1.73,Basic Materials,Specialty Chemicals,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,STEELCITY,77.49,22.74,D Weak Watch,Accumulation Zone,83.38,35.23,Bearish,15,8.74,31.59,-7.0,-11.13,Financial Services,Capital Markets,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,THELEELA,409.8,21.62,D Weak Watch,Accumulation Zone,87.49,43.28,Bearish,15,7.14,13.62,-4.31,-6.4,Consumer Cyclical,Lodging,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,IVALUE,237.12,10.45,E Avoid,Accumulation Zone,72.17,43.06,Bearish,0,14.36,30.26,-8.14,5.38,Unknown,Unknown,Fundamentals + Sector Missing
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,ICRA,5264.0,21.64,D Weak Watch,Accumulation Zone,86.6,40.48,Bearish,15,6.01,25.51,-2.91,-7.0,Financial Services,Financial Data & Stock Exchanges,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,INDRAMEDCO,374.15,23.2,D Weak Watch,Accumulation Zone,80.36,43.88,Bearish,15,9.4,41.62,-9.42,-6.86,Healthcare,Medical Care Facilities,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,ESCORTS,2762.8,23.86,D Weak Watch,Accumulation Zone,76.98,30.07,Bearish,15,1.94,33.57,-14.77,-23.32,Industrials,Farm & Heavy Construction Machinery,Complete
52w_low_accumulation_controlled_risk,52W Low + Accumulation + Controlled Risk,HYUNDAI,1882.4,22.22,D Weak Watch,Accumulation Zone,82.09,53.49,Bullish,15,13.53,34.87,2.05,-14.21,Consumer Cyclical,Auto Manufacturers,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,EICHERMOT,7100.5,46.78,C Watch,Accumulation Zone,87.7,48.66,Bullish,0,37.8,13.72,-0.12,-11.33,Consumer Cyclical,Auto Manufacturers,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,CARERATING,1600.9,47.39,C Watch,Lower Range Watch,80.66,42.25,Bearish,0,14.95,17.54,-5.46,-1.14,Financial Services,Financial Data & Stock Exchanges,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,EUROPRATIK,255.65,45.95,C Watch,Lower Range Watch,72.98,48.85,Bullish,0,24.75,34.39,-4.85,2.66,Basic Materials,Building Materials,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,IPCALAB,1490.4,44.4,C Watch,Lower Range Watch,78.58,36.93,Bearish,0,19.08,11.2,-2.59,-2.13,Healthcare,Drug Manufacturers - Specialty & Generic,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,ORIENTCER,40.59,44.15,C Watch,Lower Range Watch,75.83,48.83,Bullish,0,19.74,28.34,-1.29,2.42,Basic Materials,Specialty Chemicals,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,CRAMC,249.33,41.59,C Watch,Accumulation Zone,82.14,51.44,Bearish,0,16.4,29.1,-1.54,-1.68,Financial Services,Asset Management,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,ZFCVINDIA,14336.0,41.72,C Watch,Lower Range Watch,80.65,44.06,Bearish,0,16.53,13.98,-2.47,-7.61,Consumer Cyclical,Auto Parts,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,BORANA,330.55,42.38,C Watch,Lower Range Watch,73.61,48.22,Bearish,0,56.66,21.3,-4.81,-17.31,Consumer Cyclical,Textile Manufacturing,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,STUDDS,447.4,36.92,D Weak Watch,Accumulation Zone,89.28,42.23,Bearish,0,4.64,25.43,-8.64,-13.99,Consumer Cyclical,Auto Parts,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,TMCV,374.25,37.98,D Weak Watch,Accumulation Zone,83.7,35.88,Bearish,0,22.18,26.47,-9.36,-23.83,Consumer Cyclical,Auto Manufacturers,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,VIKRAMSOLR,196.79,40.11,C Watch,Accumulation Zone,72.65,36.96,Bearish,0,21.4,51.76,-10.3,12.34,Technology,Solar,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,MIDWESTLTD,1220.0,38.15,D Weak Watch,Accumulation Zone,75.57,40.76,Bearish,0,16.36,34.41,-1.71,-6.76,Basic Materials,Building Materials,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,SHRIRAMFIN,919.05,33.94,D Weak Watch,Accumulation Zone,83.37,41.72,Bearish,0,63.22,17.05,-1.95,-15.37,Financial Services,Credit Services,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,SOMATEX,107.16,35.38,D Weak Watch,Lower Range Watch,74.6,52.49,Bullish,0,158.15,33.54,-1.68,-8.95,Consumer Cyclical,Textile Manufacturing,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,CNL,633.2,33.61,D Weak Watch,Accumulation Zone,81.61,50.42,Bullish,0,20.61,20.75,2.86,-2.1,Technology,Electronics & Computer Distribution,Complete
range_accumulation_low_risk,Range Accumulation + Low Risk,CAPILLARY,510.15,33.81,D Weak Watch,Accumulation Zone,73.94,39.63,Bearish,0,9.89,36.15,-7.48,-1.7,Technology,Software - Infrastructure,Complete
