scan_time,symbol,sector,industry,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,trend_score,momentum_score,reversal_score,volume_score,risk_penalty,conviction_score,score,reasons
29.08.2026 at 02:41 AM IST,JUBLPHARMA,Healthcare,Unknown,878.7,-0.98,782.0,1178.7,12.37,25.45,38.05,946.26,963.7,370230.95,86026.0,0.23,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,SWARAJENG,Unknown,Unknown,3548.3,-0.02,3212.8,4423.17,10.44,19.78,35.52,3690.36,3621.52,5572.55,4442.0,0.8,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,BCG,Unknown,Unknown,9.03,-0.44,7.7,16.72,17.27,45.99,39.3,9.59,10.25,6419598.05,2937320.0,0.46,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,BBL,Unknown,Unknown,2370.4,1.35,2025.25,3367.03,17.04,29.6,44.93,2553.43,2620.33,37778.25,27598.0,0.73,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,INDBANK,Unknown,Unknown,31.55,-1.22,28.25,47.15,11.68,33.09,40.16,32.95,34.23,27541.5,25096.0,0.91,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,MAHEPC,Unknown,Unknown,106.86,-0.45,91.91,182.5,16.27,41.45,42.22,112.27,118.22,20835.85,4257.0,0.2,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,KNRCON,Unknown,Unknown,122.45,-0.79,108.65,220.0,12.7,44.34,38.48,129.2,136.01,1769589.75,768064.0,0.43,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,SUPREME,Unknown,Unknown,39.0,-1.12,38.5,97.84,1.3,60.14,31.82,44.92,56.98,26108.6,15330.0,0.59,Bearish,0,8,20,0,20,8,8,"Weak but watchable RSI, Near 52W low with non-crashing RSI, Below 200 DMA risk, Very far from 52W high"
29.08.2026 at 02:41 AM IST,HGS,Unknown,Unknown,402.55,0.15,342.05,546.35,17.69,26.32,39.01,418.63,419.01,19761.25,9634.0,0.49,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,CINEVISTA,Unknown,Unknown,14.18,-2.41,12.16,22.8,16.61,37.81,37.69,15.29,15.54,10695.7,8518.0,0.8,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,CHOLAHLDNG,Financial Services,Unknown,1517.2,-2.71,1303.97,2062.37,16.35,26.43,40.09,1590.96,1658.25,175064.95,82278.0,0.47,Bearish,0,8,15,0,15,8,8,"Weak but watchable RSI, Close to 52W low with recovery potential, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,CHEMPLASTS,Unknown,Unknown,178.65,0.46,170.02,451.3,5.08,60.41,41.33,194.81,240.75,333292.9,168014.0,0.5,Bearish,0,8,20,0,20,8,8,"Weak but watchable RSI, Near 52W low with non-crashing RSI, Below 200 DMA risk, Very far from 52W high"
29.08.2026 at 02:41 AM IST,SUDARCOLOR,Unknown,Unknown,379.65,-2.01,268.25,603.0,41.53,37.04,43.36,377.08,383.31,23089.4,14953.0,0.65,Bullish,15,8,0,0,15,8,8,"Above 50 DMA, Weak but watchable RSI, Below 200 DMA risk"
29.08.2026 at 02:41 AM IST,POWERICA,Unknown,Unknown,519.0,-2.44,365.1,676.95,42.15,23.33,42.66,564.85,,194315.55,108857.0,0.56,Bearish,0,8,0,0,0,8,8,Weak but watchable RSI
