symbol,company_name,series,isin,sector,industry
DISAQ,Disa India Limited,EQ,INE131C01011,Unknown,Unknown
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,INE753U01022,Consumer Cyclical,Auto Parts
DIVISLAB,Divi's Laboratories Limited,EQ,INE361B01024,Healthcare,Drug Manufacturers - Specialty & Generic
DIXON,Dixon Technologies (India) Limited,EQ,INE935N01020,Technology,Consumer Electronics
DLF,DLF Limited,EQ,INE271C01023,Unknown,Unknown
DLINKINDIA,D-Link (India) Limited,EQ,INE250K01012,Technology,Communication Equipment
DMART,Avenue Supermarts Limited,EQ,INE192R01011,Consumer Defensive,Discount Stores
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,INE505A01010,Basic Materials,Chemicals
DNAMEDIA,Diligent Media Corporation Limited,EQ,INE016M01021,Unknown,Unknown
DODLA,Dodla Dairy Limited,EQ,INE021O01019,Unknown,Unknown
DOLATALGO,Dolat Algotech Limited,EQ,INE966A01022,Unknown,Unknown
DOLLAR,Dollar Industries Limited,EQ,INE325C01035,Unknown,Unknown
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ,INE920A01037,Energy,Oil & Gas Equipment & Services
DOMS,DOMS Industries Limited,EQ,INE321T01012,Unknown,Unknown
DONEAR,Donear Industries Limited,EQ,INE668D01028,Unknown,Unknown
DPABHUSHAN,D. P. Abhushan Limited,EQ,INE266Y01019,Unknown,Unknown
DPSCLTD,DPSC Limited,EQ,INE360C01024,Unknown,Unknown
DPWIRES,D P Wires Limited,EQ,INE864X01013,Unknown,Unknown
DRAGARWQ,Dr Agarwals Eye Hospital Limited,EQ,INE934C01018,Unknown,Unknown
DRCSYSTEMS,DRC Systems India Limited,EQ,INE03RS01027,Unknown,Unknown
DREAMFOLKS,Dreamfolks Services Limited,EQ,INE0JS101016,Unknown,Unknown
DREDGECORP,Dredging Corporation of India Limited,EQ,INE506A01018,Industrials,Engineering & Construction
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,INE089A01031,Healthcare,Drug Manufacturers - Specialty & Generic
DSFCL,DCM Shriram Fine Chemicals Limited,EQ,INE0OFM01015,Unknown,Unknown
DSSL,Dynacons Systems & Solutions Limited,EQ,INE417B01040,Technology,Information Technology Services
DTIL,Dhunseri Tea & Industries Limited,EQ,INE341R01014,Unknown,Unknown
DVL,Dhunseri Ventures Limited,EQ,INE477B01010,Unknown,Unknown
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,INE366A01041,Consumer Defensive,Confectioners
DYCL,Dynamic Cables Limited,EQ,INE600Y01019,Unknown,Unknown
DYNAMATECH,Dynamatic Technologies Limited,EQ,INE221B01012,Consumer Cyclical,Auto Parts
DYNPRO,Dynemic Products Limited,EQ,INE256H01015,Unknown,Unknown
EASEMYTRIP,Easy Trip Planners Limited,EQ,INE07O001026,Consumer Cyclical,Travel Services
EBGNG,GNG Electronics Limited,EQ,INE18JU01028,Technology,Computer Hardware
ECLERX,eClerx Services Limited,EQ,INE738I01010,Unknown,Unknown
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,EQ,INE06HJ01020,Unknown,Unknown
EDELWEISS,Edelweiss Financial Services Limited,EQ,INE532F01054,Financial Services,Financial Conglomerates
EFCIL,EFC (I) Limited,EQ,INE886D01026,Real Estate,Real Estate Services
EICHERMOT,Eicher Motors Limited,EQ,INE066A01021,Consumer Cyclical,Auto Manufacturers
EIDPARRY,EID Parry India Limited,EQ,INE126A01031,Unknown,Unknown
EIEL,Enviro Infra Engineers Limited,EQ,INE0LLY01014,Unknown,Unknown
EIFFL,Euro India Fresh Foods Limited,EQ,INE546V01010,Unknown,Unknown
EIHAHOTELS,EIH Associated Hotels Limited,EQ,INE276C01014,Unknown,Unknown
EIHOTEL,EIH Limited,EQ,INE230A01023,Unknown,Unknown
EIMCOELECO,Eimco Elecon (India) Limited,EQ,INE158B01016,Unknown,Unknown
EKC,Everest Kanto Cylinder Limited,EQ,INE184H01027,Unknown,Unknown
ELANTAS,Elantas Beck India Limited,EQ,INE280B01018,Unknown,Unknown
ELCIDIN,EL CID Investments Limited,EQ,INE927X01018,Unknown,Unknown
ELDEHSG,Eldeco Housing And Industries Limited,EQ,INE668G01021,Unknown,Unknown
