symbol,sector,industry
CANTABIL,Consumer Cyclical,Apparel Manufacturing
ESTER,Basic Materials,Specialty Chemicals
RECLTD,Financial Services,Credit Services
PANSARI,Real Estate,Real Estate - Development
STCINDIA,Industrials,Conglomerates
SUMMITSEC,Financial Services,Capital Markets
URJA,Technology,Solar
MKPL,Consumer Defensive,Packaged Foods
ABINFRA,Industrials,Engineering & Construction
RTNPOWER,Utilities,Utilities - Independent Power Producers
TREJHARA,Technology,Software - Application
MUKKA,Consumer Defensive,Packaged Foods
PNCINFRA,Industrials,Engineering & Construction
OCCLLTD,Basic Materials,Chemicals
SPCENET,Financial Services,Capital Markets
WESTLIFE,Consumer Cyclical,Restaurants
DENTA,Industrials,Engineering & Construction
MINDTECK,Technology,Information Technology Services
IOB,Financial Services,Banks - Regional
INVENTURE,Financial Services,Capital Markets
ATL,Industrials,Integrated Freight & Logistics
JMA,Consumer Cyclical,Auto Parts
INNOVANA,Technology,Software - Application
SURAJEST,Real Estate,Real Estate - Development
AGROPHOS,Basic Materials,Agricultural Inputs
SPLIL,Consumer Cyclical,Apparel Manufacturing
HERITGFOOD,Consumer Defensive,Packaged Foods
HEXATRADEX,Financial Services,Credit Services
SBIN,Financial Services,Banks - Regional
REMSONSIND,Consumer Cyclical,Auto Parts
TGBHOTELS,Consumer Cyclical,Lodging
MSTCLTD,Industrials,Conglomerates
SAPPHIRE,Consumer Cyclical,Restaurants
ROTO,Industrials,Specialty Industrial Machinery
WCIL,Industrials,Integrated Freight & Logistics
CAMPUS,Consumer Cyclical,Footwear & Accessories
RELAXO,Consumer Cyclical,Footwear & Accessories
IXIGO,Consumer Cyclical,Travel Services
AMDIND,Consumer Cyclical,Packaging & Containers
MAHLIFE,Real Estate,Real Estate - Development
ALICON,Industrials,Metal Fabrication
SBGLP,Real Estate,Real Estate - Development
BAJAJINDEF,Industrials,Farm & Heavy Construction Machinery
KAUSHALYA,Industrials,Engineering & Construction
AARON,Industrials,Specialty Industrial Machinery
SDBL,Consumer Defensive,Beverages - Brewers
UBL,Consumer Defensive,Beverages - Brewers
CENTEXT,Basic Materials,Aluminum
JKCEMENT,Basic Materials,Building Materials
WEIZMANIND,Consumer Cyclical,Textile Manufacturing
PARKHOTELS,Consumer Cyclical,Lodging
ISHANCH,Basic Materials,Chemicals
SUDARSCHEM,Basic Materials,Specialty Chemicals
SUBROS,Consumer Cyclical,Auto Parts
MAXESTATES,Real Estate,Real Estate - Development
CINEVISTA,Communication Services,Entertainment
BLUESTARCO,Industrials,Building Products & Equipment
STANLEY,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BCG,Communication Services,Advertising Agencies
JKLAKSHMI,Basic Materials,Building Materials
RCF,Basic Materials,Agricultural Inputs
NCLIND,Basic Materials,Building Materials
OPTIEMUS,Technology,Electronics & Computer Distribution
HDFCBANK,Financial Services,Banks - Regional
RESPONIND,Basic Materials,Specialty Chemicals
POONAWALLA,Financial Services,Credit Services
PRSMJOHNSN,Basic Materials,Building Materials
ECOSMOBLTY,Industrials,Rental & Leasing Services
KCP,Basic Materials,Building Materials
JIOFIN,Financial Services,Asset Management
DBL,Industrials,Engineering & Construction
GANGESSECU,Consumer Defensive,Packaged Foods
SUNDARAM,Basic Materials,Paper & Paper Products
PIGL,Industrials,Engineering & Construction
PRECAM,Consumer Cyclical,Auto Parts
DONEAR,Consumer Cyclical,Textile Manufacturing
ANUP,Industrials,Specialty Industrial Machinery
RELCHEMQ,Consumer Cyclical,Textile Manufacturing
ATAM,Industrials,Specialty Industrial Machinery
RANASUG,Consumer Defensive,Confectioners
BRNL,Industrials,Infrastructure Operations
KOTARISUG,Consumer Defensive,Confectioners
FILATEX,Consumer Cyclical,Textile Manufacturing
TOLINS,Consumer Cyclical,Auto Parts
SHOPERSTOP,Consumer Cyclical,Department Stores
SHK,Basic Materials,Specialty Chemicals
MOL,Basic Materials,Agricultural Inputs
CREATIVEYE,Communication Services,Entertainment
RTNINDIA,Consumer Cyclical,Internet Retail
KEEPLEARN,Consumer Defensive,Education & Training Services
VCL,Consumer Cyclical,Textile Manufacturing
SUNTV,Communication Services,Broadcasting
INDIACEM,Basic Materials,Building Materials
INDOCO,Healthcare,Drug Manufacturers - Specialty & Generic
GMRAIRPORT,Industrials,Airports & Air Services
KALYANIFRG,Consumer Cyclical,Auto Parts
JUBLCPL,Basic Materials,Specialty Chemicals
SJVN,Utilities,Utilities - Renewable
HGS,Industrials,Specialty Business Services
THOMASCOTT,Consumer Cyclical,Textile Manufacturing
SAKHTISUG,Consumer Defensive,Confectioners
RAMCOCEM,Basic Materials,Building Materials
ASMS,Technology,Information Technology Services
TITAGARH,Industrials,Railroads
KIRLOSIND,Industrials,Metal Fabrication
AWFIS,Industrials,Rental & Leasing Services
COMPUSOFT,Consumer Defensive,Education & Training Services
SAGARDEEP,Basic Materials,Copper
TPHQ,Industrials,Engineering & Construction
SPENCERS,Consumer Cyclical,Department Stores
JINDWORLD,Consumer Cyclical,Textile Manufacturing
HUHTAMAKI,Consumer Cyclical,Packaging & Containers
SIGNATURE,Real Estate,Real Estate - Development
PENIND,Industrials,Specialty Industrial Machinery
IDBI,Financial Services,Banks - Regional
HILTON,Industrials,Metal Fabrication
EMMBI,Consumer Cyclical,Packaging & Containers
ARCHIDPLY,Basic Materials,Lumber & Wood Production
EUREKAFORB,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CENTRALBK,Financial Services,Banks - Regional
IDFCFIRSTB,Financial Services,Banks - Regional
ASTRAL,Industrials,Building Products & Equipment
MRPL,Energy,Oil & Gas Refining & Marketing
CINELINE,Communication Services,Entertainment
ACEINTEG,Industrials,Staffing & Employment Services
SAURASHCEM,Basic Materials,Building Materials
TATACHEM,Basic Materials,Chemicals
BALAJEE,Consumer Cyclical,Packaging & Containers
SUPREME,Real Estate,Real Estate - Development
TI,Consumer Defensive,Beverages - Wineries & Distilleries
INDOSTAR,Financial Services,Credit Services
HISARMETAL,Basic Materials,Steel
IFBIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
DCXINDIA,Industrials,Aerospace & Defense
LEMONTREE,Consumer Cyclical,Lodging
HGINFRA,Industrials,Engineering & Construction
INDIANB,Financial Services,Banks - Regional
AARTIPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
INDOUS,Basic Materials,Agricultural Inputs
ATLASCYCLE,Consumer Cyclical,Leisure
DEN,Communication Services,Entertainment
VADILALIND,Consumer Defensive,Packaged Foods
ZENITHEXPO,Consumer Cyclical,Textile Manufacturing
MOHITIND,Consumer Cyclical,Textile Manufacturing
TAJGVK,Consumer Cyclical,Lodging
MANAKCOAT,Industrials,Metal Fabrication
ITI,Technology,Communication Equipment
SULA,Consumer Defensive,Beverages - Wineries & Distilleries
DAMCAPITAL,Financial Services,Capital Markets
DIAMINESQ,Basic Materials,Chemicals
IRFC,Financial Services,Credit Services
BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic
KOLTEPATIL,Real Estate,Real Estate - Development
TRANSWORLD,Industrials,Marine Shipping
RIIL,Industrials,Engineering & Construction
ANTGRAPHIC,Consumer Cyclical,Packaging & Containers
IZMO,Technology,Software - Application
ODIGMA,Communication Services,Advertising Agencies
SAMBHAAV,Communication Services,Publishing
COFFEEDAY,Consumer Cyclical,Restaurants
VINNY,Consumer Cyclical,Textile Manufacturing
PAKKA,Basic Materials,Paper & Paper Products
RELTD,Technology,Solar
AMJLAND,Real Estate,Real Estate - Development
IGCL,Basic Materials,Agricultural Inputs
UNITECH,Real Estate,Real Estate - Diversified
CEWATER,Utilities,Utilities - Regulated Water
BALAJITELE,Communication Services,Entertainment
PIONEEREMB,Consumer Cyclical,Textile Manufacturing
ASAHISONG,Basic Materials,Specialty Chemicals
RPPL,Consumer Cyclical,Packaging & Containers
21STCENMGM,Financial Services,Capital Markets
VGUARD,Industrials,Electrical Equipment & Parts
DPWIRES,Industrials,Metal Fabrication
WINDMACHIN,Industrials,Specialty Industrial Machinery
MUFTI,Consumer Cyclical,Apparel Retail
RELIABLE,Technology,Information Technology Services
3MINDIA,Industrials,Conglomerates
KIRLOSBROS,Industrials,Specialty Industrial Machinery
CTE,Technology,Information Technology Services
LANDMARK,Consumer Cyclical,Auto & Truck Dealerships
ELECTCAST,Industrials,Building Products & Equipment
ACC,Basic Materials,Building Materials
ZUARIIND,Industrials,Conglomerates
SAGCEM,Basic Materials,Building Materials
PARAGMILK,Consumer Defensive,Packaged Foods
BLAL,Financial Services,Shell Companies
VRAJ,Basic Materials,Steel
THOMASCOOK,Consumer Cyclical,Travel Services
FISCHER,Healthcare,Medical Devices
BLUEDART,Industrials,Integrated Freight & Logistics
YATRA,Consumer Cyclical,Travel Services
MIRZAINT,Consumer Cyclical,Footwear & Accessories
LPDC,Real Estate,Real Estate Services
NOVAAGRI,Basic Materials,Agricultural Inputs
KAMOPAINTS,Basic Materials,Steel
GRPLTD,Consumer Cyclical,Auto Parts
DEVYANI,Consumer Cyclical,Restaurants
DIGJAMLMTD,Consumer Cyclical,Textile Manufacturing
SCODATUBES,Basic Materials,Steel
NATCAPSUQ,Healthcare,Drug Manufacturers - Specialty & Generic
RAJOOENG,Industrials,Specialty Industrial Machinery
LEMERITE,Consumer Cyclical,Textile Manufacturing
KEC,Industrials,Engineering & Construction
KHANDSE,Financial Services,Capital Markets
DVL,Financial Services,Capital Markets
PURVA,Real Estate,Real Estate - Development
LYKALABS,Healthcare,Biotechnology
PRITI,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
DELTAMAGNT,Consumer Cyclical,Textile Manufacturing
ATLANTAA,Industrials,Infrastructure Operations
