symbol,sector,industry
AAVAS,Financial Services,Mortgage Finance
ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries
AQYLON,Communication Services,Broadcasting
ASIANTILES,Industrials,Building Products & Equipment
ASHOKLEY,Industrials,Farm & Heavy Construction Machinery
BAGFILMS,Communication Services,Broadcasting
BIRLAMONEY,Financial Services,Capital Markets
BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CMSINFO,Industrials,Specialty Business Services
DBCORP,Communication Services,Publishing
DCW,Basic Materials,Chemicals
COROMANDEL,Basic Materials,Agricultural Inputs
DELTACORP,Consumer Cyclical,Resorts & Casinos
DREAMFOLKS,Industrials,Airports & Air Services
EDELWEISS,Financial Services,Financial Conglomerates
EXXARO,Industrials,Building Products & Equipment
GARFIBRES,Consumer Cyclical,Textile Manufacturing
EMUDHRA,Technology,Software - Application
GATECH,Financial Services,Asset Management
GOLDTECH,Technology,Information Technology Services
GICL,Industrials,Integrated Freight & Logistics
GPPL,Industrials,Marine Shipping
GREENPANEL,Basic Materials,Lumber & Wood Production
HONAUT,Industrials,Electrical Equipment & Parts
IKIO,Technology,Electronic Components
INFOMEDIA,Financial Services,Shell Companies
JOCIL,Basic Materials,Specialty Chemicals
LFIC,Financial Services,Asset Management
JTEKTINDIA,Consumer Cyclical,Auto Parts
MGL,Utilities,Utilities - Regulated Gas
MOBIKWIK,Technology,Software - Infrastructure
NAVNETEDUL,Communication Services,Publishing
NELCO,Technology,Communication Equipment
NPST,Technology,Software - Application
PAYTM,Technology,Software - Infrastructure
PODDARMENT,Basic Materials,Specialty Chemicals
PRIMESECU,Financial Services,Capital Markets
RENUKA,Consumer Defensive,Confectioners
RAMCOSYS,Technology,Software - Application
SADBHIN,Industrials,Engineering & Construction
RKEC,Industrials,Engineering & Construction
SAGILITY,Healthcare,Health Information Services
SHAKTIPUMP,Industrials,Specialty Industrial Machinery
SHALPAINTS,Basic Materials,Specialty Chemicals
SGL,Consumer Cyclical,Textile Manufacturing
SOBHA,Real Estate,Real Estate - Development
SUPRIYA,Healthcare,Biotechnology
SURANAT&P,Utilities,Utilities - Independent Power Producers
TBOTEK,Consumer Cyclical,Travel Services
TINNARUBR,Basic Materials,Specialty Chemicals
TRU,Financial Services,Credit Services
UNIENTER,Basic Materials,Chemicals
VSTL,Basic Materials,Steel
VESUVIUS,Industrials,Specialty Industrial Machinery
WEWORK,Real Estate,Real Estate Services
BAJAJCON,Consumer Defensive,Household & Personal Products
KIRLPNU,Industrials,Specialty Industrial Machinery
TDPOWERSYS,Industrials,Specialty Industrial Machinery
TIPSMUSIC,Communication Services,Entertainment
BSE,Financial Services,Financial Data & Stock Exchanges
GESHIP,Industrials,Marine Shipping
MCX,Financial Services,Financial Data & Stock Exchanges
OFSS,Technology,Software - Infrastructure
GLAND,Healthcare,Drug Manufacturers - Specialty & Generic
ACUTAAS,Basic Materials,Specialty Chemicals
AJANTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
NAM-INDIA,Financial Services,Asset Management
SJS,Consumer Cyclical,Auto Parts
GRWRHITECH,Basic Materials,Specialty Chemicals
SENORES,Healthcare,Drug Manufacturers - General
CUPID,Consumer Defensive,Household & Personal Products
HINDZINC,Basic Materials,Other Industrial Metals & Mining
HSCL,Basic Materials,Specialty Chemicals
ENRIN,Utilities,Utilities - Renewable
SAKAR,Healthcare,Drug Manufacturers - Specialty & Generic
SAREGAMA,Communication Services,Entertainment
SOLARINDS,Basic Materials,Specialty Chemicals
NAVINFLUOR,Basic Materials,Chemicals
ANTELOPUS,Energy,Oil & Gas E&P
GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic
BALAMINES,Basic Materials,Specialty Chemicals
AEROFLEX,Industrials,Metal Fabrication
GVT&D,Industrials,Specialty Industrial Machinery
ANANDRATHI,Financial Services,Asset Management
NOIDATOLL,Industrials,Infrastructure Operations
COALINDIA,Energy,Thermal Coal
KEI,Industrials,Electrical Equipment & Parts
THYROCARE,Healthcare,Diagnostics & Research
USHAMART,Basic Materials,Steel
ASTERDM,Healthcare,Medical Care Facilities
PARKHOSPS,Healthcare,Medical Care Facilities
MARICO,Consumer Defensive,Household & Personal Products
FCL,Basic Materials,Specialty Chemicals
EMCURE,Healthcare,Drug Manufacturers - Specialty & Generic
CARERATING,Financial Services,Financial Data & Stock Exchanges
POLYCAB,Industrials,Electrical Equipment & Parts
GLOBAL,Consumer Defensive,Education & Training Services
BHEL,Industrials,Specialty Industrial Machinery
ATUL,Basic Materials,Specialty Chemicals
IGIL,Basic Materials,Other Precious Metals & Mining
KILITCH,Healthcare,Drug Manufacturers - Specialty & Generic
LALPATHLAB,Healthcare,Diagnostics & Research
MENONBE,Consumer Cyclical,Auto Parts
NESTLEIND,Consumer Defensive,Packaged Foods
SAILIFE,Healthcare,Diagnostics & Research
JAYNECOIND,Basic Materials,Steel
APCOTEXIND,Basic Materials,Specialty Chemicals
RRKABEL,Industrials,Electrical Equipment & Parts
CGPOWER,Industrials,Electrical Equipment & Parts
GALAPREC,Industrials,Specialty Industrial Machinery
METROPOLIS,Healthcare,Diagnostics & Research
MAYURUNIQ,Consumer Cyclical,Textile Manufacturing
CAMS,Technology,Information Technology Services
SYRMA,Technology,Electronic Components
SANDUMA,Basic Materials,Steel
YATHARTH,Healthcare,Medical Care Facilities
ALIVUS,Healthcare,Drug Manufacturers - Specialty & Generic
NITINSPIN,Consumer Cyclical,Textile Manufacturing
ADANIPOWER,Utilities,Utilities - Independent Power Producers
NRBBEARING,Consumer Cyclical,Auto Parts
RPEL,Basic Materials,Chemicals
BAJAJ-AUTO,Consumer Cyclical,Auto Manufacturers
KRISHNADEF,Industrials,Specialty Industrial Machinery
JNKINDIA,Industrials,Specialty Industrial Machinery
AEROENTER,Basic Materials,Steel
MTARTECH,Industrials,Specialty Industrial Machinery
LAURUSLABS,Healthcare,Drug Manufacturers - Specialty & Generic
CERA,Industrials,Building Products & Equipment
NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
SOUTHWEST,Energy,Oil & Gas Equipment & Services
SGMART,Industrials,Industrial Distribution
VSTIND,Consumer Defensive,Tobacco
MEDANTA,Healthcare,Medical Care Facilities
SOMANYCERA,Industrials,Building Products & Equipment
ARTEMISMED,Unknown,Unknown
ADFFOODS,Consumer Defensive,Packaged Foods
PARAS,Industrials,Aerospace & Defense
VENUSREM,Healthcare,Drug Manufacturers - Specialty & Generic
SBCL,Industrials,Metal Fabrication
POLICYBZR,Financial Services,Insurance Brokers
OIL,Energy,Oil & Gas Integrated
PREMIERENE,Technology,Solar
WEBELSOLAR,Technology,Solar
RPTECH,Technology,Electronics & Computer Distribution
KMEW,Industrials,Marine Shipping
SHYAMMETL,Basic Materials,Steel
ASHIANA,Real Estate,Real Estate - Development
SONACOMS,Consumer Cyclical,Auto Parts
SMSPHARMA,Healthcare,Drug Manufacturers - General
CEMPRO,Industrials,Engineering & Construction
TATACONSUM,Consumer Defensive,Packaged Foods
SIS,Industrials,Security & Protection Services
MONARCH,Financial Services,Capital Markets
ADANIPORTS,Industrials,Marine Shipping
HAPPYFORGE,Industrials,Metal Fabrication
POWERINDIA,Industrials,Electrical Equipment & Parts
PTL,Real Estate,Real Estate Services
EUROPRATIK,Basic Materials,Building Materials
AVL,Consumer Cyclical,Specialty Retail
KTKBANK,Financial Services,Banks - Regional
VIJAYA,Healthcare,Diagnostics & Research
ARVIND,Consumer Cyclical,Textile Manufacturing
LINCOLN,Healthcare,Drug Manufacturers - Specialty & Generic
AVALON,Technology,Electronic Components
HINDCOPPER,Basic Materials,Copper
MOLDTKPAC,Consumer Cyclical,Packaging & Containers
MANINDS,Basic Materials,Steel
DIFFNKG,Industrials,Specialty Industrial Machinery
LUPIN,Healthcare,Drug Manufacturers - Specialty & Generic
KRISHANA,Basic Materials,Agricultural Inputs
GOKULAGRO,Consumer Defensive,Packaged Foods
NETWEB,Technology,Computer Hardware
NLCINDIA,Utilities,Utilities - Regulated Electric
THERMAX,Industrials,Conglomerates
SEAMECLTD,Industrials,Marine Shipping
BEPL,Basic Materials,Chemicals
ZYDUSLIFE,Healthcare,Drug Manufacturers - Specialty & Generic
NATIONALUM,Basic Materials,Aluminum
SANOFICONR,Healthcare,Drug Manufacturers - General
SHILPAMED,Healthcare,Drug Manufacturers - Specialty & Generic
BANSALWIRE,Basic Materials,Steel
SUNPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
ADANIENSOL,Utilities,Utilities - Independent Power Producers
DHANBANK,Financial Services,Banks - Regional
STAR,Healthcare,Drug Manufacturers - Specialty & Generic
EMMVEE,Technology,Solar
KOTYARK,Basic Materials,Specialty Chemicals
ASIANENE,Energy,Oil & Gas Equipment & Services
DOLPHIN,Energy,Oil & Gas Equipment & Services
JINDRILL,Energy,Oil & Gas Equipment & Services
SONAMLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
PRUDENT,Financial Services,Asset Management
RATNAVEER,Basic Materials,Steel
ROLEXRINGS,Industrials,Metal Fabrication
DEEPINDS,Energy,Oil & Gas E&P
CARBORUNIV,Industrials,Conglomerates
PHOENIXLTD,Real Estate,Real Estate - Diversified
JARO,Consumer Defensive,Education & Training Services
RAYMOND,Industrials,Specialty Industrial Machinery
SHAILY,Basic Materials,Specialty Chemicals
AXISCADES,Industrials,Engineering & Construction
NGLFINE,Healthcare,Drug Manufacturers - General
MAHABANK,Financial Services,Banks - Regional
UNIPARTS,Industrials,Farm & Heavy Construction Machinery
APOLLO,Industrials,Aerospace & Defense
ANGELONE,Financial Services,Capital Markets
LLOYDSENGG,Industrials,Specialty Industrial Machinery
PAISALO,Financial Services,Credit Services
ABSLAMC,Financial Services,Asset Management
SHREEJISPG,Industrials,Marine Shipping
MWL,Basic Materials,Steel
TRITURBINE,Industrials,Specialty Industrial Machinery
MANKIND,Healthcare,Drug Manufacturers - Specialty & Generic
BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic
UNIDT,Energy,Oil & Gas Equipment & Services
SPORTKING,Consumer Cyclical,Textile Manufacturing
PRECWIRE,Industrials,Electrical Equipment & Parts
ELGIEQUIP,Industrials,Specialty Industrial Machinery
MANORAMA,Consumer Defensive,Packaged Foods
DLINKINDIA,Technology,Communication Equipment
MODISONLTD,Industrials,Electrical Equipment & Parts
MACPOWER,Industrials,Specialty Industrial Machinery
RUBICON,Healthcare,Drug Manufacturers - General
DATAPATTNS,Industrials,Aerospace & Defense
ESABINDIA,Industrials,Tools & Accessories
INGERRAND,Industrials,Specialty Industrial Machinery
GANDHITUBE,Industrials,Metal Fabrication
WELCORP,Basic Materials,Steel
DIVISLAB,Healthcare,Drug Manufacturers - Specialty & Generic
APARINDS,Industrials,Electrical Equipment & Parts
ASTRAMICRO,Technology,Communication Equipment
KIRLOSENG,Industrials,Specialty Industrial Machinery
SOUTHBANK,Financial Services,Banks - Regional
ADVENZYMES,Basic Materials,Specialty Chemicals
SAIL,Basic Materials,Steel
RISHABH,Technology,Scientific & Technical Instruments
POCL,Basic Materials,Specialty Chemicals
DRREDDY,Healthcare,Drug Manufacturers - Specialty & Generic
APOLLOHOSP,Healthcare,Medical Care Facilities
PNBHOUSING,Financial Services,Mortgage Finance
KINGFA,Basic Materials,Specialty Chemicals
IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic
ANURAS,Basic Materials,Specialty Chemicals
GHCLTEXTIL,Consumer Cyclical,Textile Manufacturing
CYBERTECH,Technology,Information Technology Services
AGIIL,Real Estate,Real Estate - Development
GAEL,Consumer Defensive,Packaged Foods
FINCABLES,Industrials,Electrical Equipment & Parts
TMB,Financial Services,Banks - Regional
SIGNPOST,Communication Services,Advertising Agencies
JBCHEPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
GUJALKALI,Basic Materials,Chemicals
NAZARA,Communication Services,Electronic Gaming & Multimedia
JSWSTEEL,Basic Materials,Steel
FLAIR,Industrials,Business Equipment & Supplies
CAPITALSFB,Financial Services,Banks - Regional
CHEVIOT,Consumer Cyclical,Textile Manufacturing
LLOYDSENT,Basic Materials,Steel
RAMRAT,Industrials,Electrical Equipment & Parts
LLOYDSME,Basic Materials,Steel
KPIL,Industrials,Engineering & Construction
IKS,Healthcare,Health Information Services
INDUSTOWER,Communication Services,Telecom Services
GLENMARK,Healthcare,Drug Manufacturers - Specialty & Generic
TNPL,Basic Materials,Paper & Paper Products
TATATECH,Technology,Information Technology Services
CPPLUS,Industrials,Building Products & Equipment
ATLANTAELE,Industrials,Electrical Equipment & Parts
AUTOIND,Consumer Cyclical,Auto Parts
RADICO,Consumer Defensive,Beverages - Wineries & Distilleries
PRIVISCL,Basic Materials,Specialty Chemicals
GANESHBE,Basic Materials,Specialty Chemicals
TIMKEN,Industrials,Tools & Accessories
OBEROIRLTY,Real Estate,Real Estate - Development
SATIN,Financial Services,Credit Services
SANSERA,Consumer Cyclical,Auto Parts
AZAD,Industrials,Specialty Industrial Machinery
MARKSANS,Healthcare,Drug Manufacturers - General
GRASIM,Basic Materials,Building Materials
STYLAMIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
NIVABUPA,Financial Services,Insurance - Life
TORNTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
SCHAEFFLER,Consumer Cyclical,Auto Parts
ENGINERSIN,Industrials,Engineering & Construction
VISHNU,Basic Materials,Specialty Chemicals
DEEPAKNTR,Basic Materials,Chemicals
IPCALAB,Healthcare,Drug Manufacturers - Specialty & Generic
PIXTRANS,Industrials,Specialty Industrial Machinery
SUNFLAG,Basic Materials,Steel
HONASA,Consumer Defensive,Household & Personal Products
RBLBANK,Financial Services,Banks - Regional
SCI,Industrials,Marine Shipping
MBAPL,Basic Materials,Agricultural Inputs
RPGLIFE,Healthcare,Drug Manufacturers - Specialty & Generic
ABCAPITAL,Financial Services,Financial Conglomerates
CONFIPET,Energy,Oil & Gas Refining & Marketing
VBL,Consumer Defensive,Beverages - Non-Alcoholic
ADANIENT,Energy,Thermal Coal
SKMEGGPROD,Consumer Defensive,Packaged Foods
BOROSCI,Consumer Cyclical,Packaging & Containers
UYFINCORP,Financial Services,Credit Services
SKYGOLD,Consumer Cyclical,Luxury Goods
INNOVACAP,Healthcare,Drug Manufacturers - Specialty & Generic
NORTHARC,Financial Services,Credit Services
ADOR,Industrials,Specialty Industrial Machinery
ZENTEC,Industrials,Aerospace & Defense
UNIVCABLES,Industrials,Electrical Equipment & Parts
PARACABLES,Technology,Communication Equipment
ONGC,Energy,Oil & Gas Integrated
RATNAMANI,Basic Materials,Steel
GULPOLY,Basic Materials,Chemicals
MOTHERSON,Consumer Cyclical,Auto Parts
ADANIGREEN,Utilities,Utilities - Renewable
MITCON,Industrials,Engineering & Construction
CCL,Consumer Defensive,Packaged Foods
CESC,Utilities,Utilities - Regulated Electric
MAHESHWARI,Industrials,Integrated Freight & Logistics
360ONE,Financial Services,Asset Management
AUROPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
GRINDWELL,Industrials,Building Products & Equipment
VSSL,Basic Materials,Steel
GNFC,Basic Materials,Chemicals
HINDALCO,Basic Materials,Aluminum
CAPLIPOINT,Healthcare,Drug Manufacturers - Specialty & Generic
INDOBORAX,Basic Materials,Chemicals
CGCL,Financial Services,Credit Services
VALIANTORG,Basic Materials,Chemicals
ZYDUSWELL,Consumer Defensive,Packaged Foods
TALBROAUTO,Consumer Cyclical,Auto Parts
BLSE,Industrials,Specialty Business Services
PANAMAPET,Energy,Oil & Gas Refining & Marketing
GPIL,Basic Materials,Steel
TAINWALCHM,Basic Materials,Specialty Chemicals
NMDC,Basic Materials,Steel
MEDPLUS,Healthcare,Pharmaceutical Retailers
HFCL,Technology,Communication Equipment
ORIENTBELL,Industrials,Building Products & Equipment
ONEPOINT,Industrials,Specialty Business Services
IRISDOREME,Consumer Cyclical,Apparel Manufacturing
ISGEC,Industrials,Specialty Industrial Machinery
HARSHA,Industrials,Tools & Accessories
GANDHAR,Energy,Oil & Gas Refining & Marketing
STYRENIX,Basic Materials,Chemicals
J&KBANK,Financial Services,Banks - Regional
RHETAN,Basic Materials,Steel
SGFIN,Financial Services,Capital Markets
VERANDA,Consumer Defensive,Education & Training Services
ATALREAL,Industrials,Engineering & Construction
BANDHANBNK,Financial Services,Banks - Regional
AKUMS,Healthcare,Drug Manufacturers - Specialty & Generic
NHPC,Utilities,Utilities - Renewable
CHENNPETRO,Energy,Oil & Gas Refining & Marketing
NUVAMA,Financial Services,Asset Management
TATASTEEL,Basic Materials,Steel
SAHYADRI,Industrials,Building Products & Equipment
VINYLINDIA,Basic Materials,Specialty Chemicals
KOPRAN,Healthcare,Drug Manufacturers - General
CENTUM,Technology,Electronic Components
SETL,Industrials,Specialty Industrial Machinery
MANAPPURAM,Financial Services,Credit Services
VTL,Consumer Cyclical,Textile Manufacturing
NEOGEN,Basic Materials,Specialty Chemicals
SCHAND,Communication Services,Publishing
THANGAMAYL,Consumer Cyclical,Luxury Goods
FRACTAL,Technology,Software - Infrastructure
GEOJITFSL,Financial Services,Capital Markets
DIACABS,Industrials,Specialty Industrial Machinery
DBSTOCKBRO,Financial Services,Capital Markets
INOXINDIA,Industrials,Specialty Industrial Machinery
JAYBARMARU,Consumer Cyclical,Auto Parts
COASTCORP,Consumer Defensive,Packaged Foods
NAVA,Industrials,Conglomerates
AMBIKCO,Consumer Cyclical,Textile Manufacturing
KANPRPLA,Consumer Cyclical,Packaging & Containers
BHARATFORG,Consumer Cyclical,Auto Parts
ACMESOLAR,Utilities,Utilities - Renewable
HIRECT,Industrials,Electrical Equipment & Parts
ENTERO,Healthcare,Medical Distribution
PASUPTAC,Consumer Cyclical,Textile Manufacturing
PONNIERODE,Consumer Defensive,Confectioners
GRMOVER,Consumer Defensive,Packaged Foods
MUNJALSHOW,Consumer Cyclical,Auto Parts
NEULANDLAB,Healthcare,Drug Manufacturers - Specialty & Generic
NDLVENTURE,Communication Services,Entertainment
YASHO,Basic Materials,Specialty Chemicals
ICICIAMC,Financial Services,Asset Management
CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HARDWYN,Industrials,Building Products & Equipment
SUVEN,Healthcare,Drug Manufacturers - Specialty & Generic
SILGO,Consumer Cyclical,Luxury Goods
KROSS,Consumer Cyclical,Auto Parts
HALEOSLABS,Healthcare,Biotechnology
MODINATUR,Consumer Defensive,Packaged Foods
GENUSPOWER,Industrials,Electrical Equipment & Parts
IDEA,Communication Services,Telecom Services
SKIPPER,Industrials,Engineering & Construction
WALCHANNAG,Industrials,Engineering & Construction
ATHERENERG,Consumer Cyclical,Auto Manufacturers
SBC,Industrials,Conglomerates
KIMS,Healthcare,Medical Care Facilities
SIEMENS,Industrials,Specialty Industrial Machinery
EBGNG,Technology,Computer Hardware
SOTL,Basic Materials,Specialty Chemicals
WELSPUNLIV,Consumer Cyclical,Textile Manufacturing
SURAKSHA,Healthcare,Diagnostics & Research
JPPOWER,Utilities,Utilities - Independent Power Producers
TIIL,Industrials,Tools & Accessories
APOLLOPIPE,Industrials,Building Products & Equipment
MAHSEAMLES,Basic Materials,Steel
GROWW,Financial Services,Capital Markets
YESBANK,Financial Services,Banks - Regional
KDDL,Consumer Cyclical,Luxury Goods
RAINBOW,Healthcare,Medical Care Facilities
IMFA,Basic Materials,Other Industrial Metals & Mining
SPAL,Consumer Cyclical,Apparel Manufacturing
AERONEU,Consumer Cyclical,Packaging & Containers
MEGASTAR,Consumer Defensive,Packaged Foods
MIDHANI,Basic Materials,Steel
WOCKPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
SURYODAY,Financial Services,Banks - Regional
ELDEHSG,Real Estate,Real Estate Services
GOODLUCK,Basic Materials,Steel
VENUSPIPES,Basic Materials,Steel
ARIS,Industrials,Engineering & Construction
PRAKASH,Basic Materials,Steel
ATGL,Utilities,Utilities - Regulated Gas
DSSL,Technology,Information Technology Services
MARINE,Industrials,Electrical Equipment & Parts
FEDERALBNK,Financial Services,Banks - Regional
FLUOROCHEM,Basic Materials,Specialty Chemicals
PRECOT,Consumer Cyclical,Textile Manufacturing
GOKUL,Consumer Defensive,Packaged Foods
FABTECH,Healthcare,Health Information Services
MUFIN,Financial Services,Credit Services
RAIN,Basic Materials,Specialty Chemicals
GRAPHITE,Industrials,Electrical Equipment & Parts
CUMMINSIND,Industrials,Specialty Industrial Machinery
VETO,Industrials,Electrical Equipment & Parts
BALPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
GMDCLTD,Energy,Thermal Coal
GCSL,Financial Services,Capital Markets
RANEHOLDIN,Consumer Cyclical,Auto Parts
INDUSINDBK,Financial Services,Banks - Regional
SHADOWFAX,Industrials,Integrated Freight & Logistics
UFBL,Consumer Cyclical,Restaurants
IIFLCAPS,Financial Services,Capital Markets
UTLSOLAR,Technology,Solar
AIAENG,Industrials,Specialty Industrial Machinery
MUKANDLTD,Basic Materials,Steel
ONELIFECAP,Financial Services,Capital Markets
MMP,Basic Materials,Aluminum
CRAFTSMAN,Consumer Cyclical,Auto Parts
EPACKPEB,Industrials,Engineering & Construction
ANTHEM,Healthcare,Biotechnology
FEDFINA,Financial Services,Credit Services
IRIS,Technology,Software - Application
ADVAIT,Industrials,Specialty Industrial Machinery
SHANTIGOLD,Consumer Cyclical,Luxury Goods
RATEGAIN,Technology,Software - Application
GLOSTERLTD,Consumer Cyclical,Textile Manufacturing
BORANA,Consumer Cyclical,Textile Manufacturing
AMAGI,Technology,Software - Application
VARDHACRLC,Consumer Cyclical,Textile Manufacturing
DREDGECORP,Industrials,Engineering & Construction
SANSTAR,Basic Materials,Chemicals
HEG,Industrials,Electrical Equipment & Parts
ANDHRSUGAR,Basic Materials,Chemicals
CIEINDIA,Consumer Cyclical,Auto Parts
FORTIS,Healthcare,Medical Care Facilities
COFORGE,Technology,Information Technology Services
MEDICO,Healthcare,Drug Manufacturers - Specialty & Generic
GPTINFRA,Industrials,Engineering & Construction
RAYMONDREL,Real Estate,Real Estate - Development
BLKASHYAP,Industrials,Engineering & Construction
INSECTICID,Basic Materials,Agricultural Inputs
SPARC,Healthcare,Drug Manufacturers - Specialty & Generic
NEPHROPLUS,Healthcare,Medical Care Facilities
KERNEX,Technology,Software - Application
SCHNEIDER,Industrials,Electrical Equipment & Parts
INDSWFTLAB,Healthcare,Drug Manufacturers - Specialty & Generic
PRAJIND,Industrials,Engineering & Construction
NARMADA,Basic Materials,Agricultural Inputs
EUROTEXIND,Real Estate,Real Estate - Development
BHARATSE,Consumer Cyclical,Auto Parts
JKPAPER,Basic Materials,Paper & Paper Products
PIRAMALFIN,Financial Services,Credit Services
MSPL,Basic Materials,Steel
LIBAS,Consumer Cyclical,Apparel Manufacturing
RUBFILA,Basic Materials,Specialty Chemicals
IEX,Financial Services,Capital Markets
GODAVARIB,Basic Materials,Chemicals
COSMOFIRST,Consumer Cyclical,Packaging & Containers
PGIL,Consumer Cyclical,Apparel Manufacturing
FINEORG,Basic Materials,Specialty Chemicals
NURECA,Healthcare,Medical Devices
SPECTRUM,Industrials,Electrical Equipment & Parts
ONESOURCE,Healthcare,Biotechnology
WELINV,Financial Services,Capital Markets
STEELCAS,Basic Materials,Steel
WHEELS,Consumer Cyclical,Auto Parts
GOLDIAM,Consumer Cyclical,Luxury Goods
HINDOILEXP,Energy,Oil & Gas E&P
AHLEAST,Consumer Cyclical,Lodging
PACEDIGITK,Technology,Communication Equipment
BBOX,Technology,Software - Application
CORDSCABLE,Industrials,Electrical Equipment & Parts
GODFRYPHLP,Consumer Defensive,Tobacco
GODREJIND,Industrials,Conglomerates
EQUITASBNK,Financial Services,Banks - Regional
MPSLTD,Communication Services,Publishing
TMCV,Consumer Cyclical,Auto Manufacturers
E2E,Technology,Software - Infrastructure
AKASH,Industrials,Engineering & Construction
TATVA,Basic Materials,Specialty Chemicals
IVP,Basic Materials,Specialty Chemicals
SAATVIKGL,Technology,Solar
VINDHYATEL,Industrials,Engineering & Construction
DHAMPURSUG,Consumer Defensive,Confectioners
SUZLON,Industrials,Specialty Industrial Machinery
CNL,Technology,Electronics & Computer Distribution
WABAG,Industrials,Engineering & Construction
COLPAL,Consumer Defensive,Household & Personal Products
JINDALSTEL,Basic Materials,Steel
ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic
CEIGALL,Industrials,Engineering & Construction
PANACEABIO,Healthcare,Biotechnology
AUBANK,Financial Services,Banks - Regional
PYRAMID,Consumer Cyclical,Packaging & Containers
TANLA,Technology,Software - Application
BODALCHEM,Basic Materials,Specialty Chemicals
INDIAGLYCO,Basic Materials,Chemicals
UNITEDTEA,Consumer Defensive,Farm Products
GKSL,Healthcare,Medical Care Facilities
CYIENTDLM,Technology,Electronic Components
CRAMC,Financial Services,Asset Management
EXCELSOFT,Technology,Software - Application
ARMANFIN,Financial Services,Credit Services
RML,Consumer Cyclical,Auto Parts
INSPIRISYS,Technology,Information Technology Services
SUYOG,Communication Services,Telecom Services
VOLTAMP,Industrials,Electrical Equipment & Parts
SENCO,Consumer Cyclical,Luxury Goods
MASTERTR,Financial Services,Capital Markets
ARFIN,Basic Materials,Aluminum
SASKEN,Technology,Information Technology Services
AETHER,Basic Materials,Specialty Chemicals
SOLARA,Healthcare,Drug Manufacturers - Specialty & Generic
VIYASH,Healthcare,Drug Manufacturers - Specialty & Generic
PAGEIND,Consumer Cyclical,Apparel Manufacturing
COMSYN,Consumer Cyclical,Packaging & Containers
MARKOLINES,Industrials,Infrastructure Operations
MANGLMCEM,Basic Materials,Building Materials
TFCILTD,Financial Services,Credit Services
BIOCON,Healthcare,Biotechnology
MMTC,Industrials,Conglomerates
INDGN,Healthcare,Health Information Services
KICL,Financial Services,Asset Management
NYKAA,Consumer Cyclical,Internet Retail
NTPC,Utilities,Utilities - Regulated Electric
EXPLEOSOL,Technology,Information Technology Services
NH,Healthcare,Medical Care Facilities
GKENERGY,Utilities,Utilities - Renewable
LAGNAM,Consumer Cyclical,Textile Manufacturing
TRUALT,Energy,Oil & Gas Refining & Marketing
GPTHEALTH,Healthcare,Medical Care Facilities
ABB,Industrials,Specialty Industrial Machinery
SANGHVIMOV,Industrials,Rental & Leasing Services
SUDARCOLOR,Basic Materials,Specialty Chemicals
DJML,Industrials,Specialty Business Services
PERSISTENT,Technology,Information Technology Services
JSWENERGY,Utilities,Utilities - Independent Power Producers
GABRIEL,Consumer Cyclical,Auto Parts
CORONA,Healthcare,Drug Manufacturers - General
GRSE,Industrials,Aerospace & Defense
RPSGVENT,Technology,Information Technology Services
ZFCVINDIA,Consumer Cyclical,Auto Parts
JSFB,Financial Services,Banks - Regional
SANDHAR,Consumer Cyclical,Auto Parts
POWERGRID,Utilities,Utilities - Regulated Electric
NIBE,Industrials,Conglomerates
BALRAMCHIN,Consumer Defensive,Confectioners
OMFREIGHT,Industrials,Integrated Freight & Logistics
PPLPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic
VENKEYS,Consumer Defensive,Farm Products
TATACOMM,Communication Services,Telecom Services
SUDEEPPHRM,Healthcare,Drug Manufacturers - Specialty & Generic
FMNL,Real Estate,Real Estate Services
HNDFDS,Industrials,Conglomerates
HESTERBIO,Healthcare,Drug Manufacturers - Specialty & Generic
V2RETAIL,Consumer Cyclical,Apparel Retail
CROMPTON,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FIEMIND,Consumer Cyclical,Auto Parts
INDOAMIN,Basic Materials,Chemicals
CARRARO,Consumer Cyclical,Auto Parts
ATULAUTO,Consumer Cyclical,Auto Manufacturers
HEMIPROP,Real Estate,Real Estate - Diversified
PIDILITIND,Basic Materials,Specialty Chemicals
AYE,Financial Services,Credit Services
ARSSBL,Financial Services,Financial Conglomerates
LICHSGFIN,Financial Services,Mortgage Finance
BHARATGEAR,Consumer Cyclical,Auto Parts
